ID,DATA,PRODUTO,CATEGORIA,QUANTIDADE,PRECO_UNI
0,2023-01-14,PlayStation,Videogame,1,853.16
1,2023-05-09,Mouse Razer,Periférico,9,3153.84
2,2023-10-28,iPhone,Celular,7,
3,2023-11-16,Mouse Razer,Periférico,7,3052.07
4,2023-09-13,JBL,Áudio,3,1788.52
5,2023-06-28,Xiaomi Mi Band,Relógio,7,866.96
6,2023-03-19,Teclado Logitech,Periférico,9,
7,2023-05-21,iPad,Tablet,3,3715.73
8,2023-09-23,Samsung Galaxy,Celular,7,4241.62
9,2023-07-24,Apple Watch,Relógio,6,4260.97
10,2023-11-20,Apple Watch,Relógio,9,3868.62
11,2023-08-04,Teclado Logitech,Periférico,3,4276.98
12,2023-05-16,Xiaomi Mi Band,Relógio,7,3315.88
13,2023-09-30,iPhone,Celular,8,479.16
14,2023-09-03,MacBook Air,Notebook,5,670.44
15,2023-04-20,Xiaomi Mi Band,Relógio,10,4684.44
16,2023-01-04,Xiaomi Mi Band,Relógio,3,1832.29
17,2023-07-18,MacBook Air,Notebook,10,804.37
18,2023-08-05,Dell Inspiron,Notebook,2,3950.58
19,2023-02-25,iPhone,Celular,2,4625.5
20,2023-03-23,JBL,Áudio,8,178.47
21,2023-10-06,Xbox,Videogame,3,3352.36
22,2023-05-23,Xbox,Videogame,1,
23,2023-01-08,Samsung Galaxy Tab,Tablet,10,1181.41
24,2023-07-16,Mouse Logitech,Periférico,10,4482.59
25,2023-04-21,Teclado Logitech,Periférico,1,3551.56
26,2023-06-14,Smart TV LG,TV,9,717.54
27,2023-03-29,Samsung Galaxy,Celular,7,1918.87
28,2023-05-16,Apple Watch,Relógio,6,3915.12
29,2023-06-04,Mouse Razer,Periférico,8,3123.2
30,2023-04-04,Teclado Logitech,Periférico,8,316.81
31,2023-02-02,Apple Watch,Relógio,1,4340.25
32,2023-10-05,JBL,Áudio,1,3547.4
33,2023-11-15,MacBook Air,Notebook,2,528.03
34,2023-12-21,JBL,Áudio,2,779.33
35,2023-01-20,Smart TV LG,TV,2,4832.56
36,2023-05-02,Xiaomi Mi Band,Relógio,5,1315.49
37,2023-12-23,Samsung Galaxy,Celular,2,688.81
38,2023-04-15,iPhone,Celular,6,474.06
39,2023-07-09,iPhone,Celular,7,3211.85
40,2023-04-25,Xiaomi Mi Band,Relógio,1,1133.3
41,2023-12-02,Samsung Galaxy,Celular,6,3213.22
42,2023-09-08,Xbox,Videogame,9,1841.49
43,2023-10-06,JBL,Áudio,9,3390.9
44,2023-11-24,PlayStation,Videogame,10,135.29
45,2023-02-26,iPad,Tablet,1,1656.15
46,2023-06-15,Xiaomi Mi Band,Relógio,8,3636.53
47,2023-06-16,Samsung Galaxy Tab,Tablet,2,614.67
48,2023-12-07,JBL,Áudio,6,3817.69
49,2023-05-18,MacBook Air,Notebook,2,2382.58
34,2023-12-21,JBL,Áudio,2,779.33
36,2023-05-02,Xiaomi Mi Band,Relógio,5,1315.49
1,2023-05-09,Mouse Razer,Periférico,9,3153.84
