ID,DATA,PRODUTO,CATEGORIA,QUANTIDADE,PRECO_UNI
0,2023-02-18,MacBook Air,Notebook,1,592.13
2,2023-02-10,Teclado Logitech,Periférico,9,4052.54
3,2023-09-17,Samsung Galaxy,Celular,3,396.75
4,2023-04-16,Apple Watch,Relógio,5,4472.28
5,2023-11-12,Apple Watch,Relógio,5,4774.1
6,2023-03-27,Xbox,Videogame,2,439.02
7,2023-04-28,Samsung Galaxy,Celular,9,3963.97
8,2023-05-07,Dell Inspiron,Notebook,3,2682.79
9,2023-04-19,Xiaomi Mi Band,Relógio,2,3132.13
10,2023-06-29,iPad,Tablet,2,128.65
11,2023-07-27,Samsung Galaxy,Celular,3,4899.4
12,2023-03-08,Xbox,Videogame,8,2091.39
13,2023-02-22,iPhone,Celular,1,2309.06
14,2023-08-10,PlayStation,Videogame,7,1034.69
15,2023-05-27,Samsung Galaxy,Celular,6,1992.84
16,2023-03-23,Smart TV LG,TV,10,3407.55
17,2023-05-23,Xiaomi Mi Band,Relógio,7,2374.72
18,2023-03-16,PlayStation,Videogame,3,3711.15
19,2023-04-03,iPhone,Celular,7,4394.79
20,2023-09-27,MacBook Air,Notebook,4,3436.37
21,2023-05-02,Smart TV LG,TV,5,3574.15
22,2023-01-15,PlayStation,Videogame,10,856.73
23,2023-07-09,Xiaomi Mi Band,Relógio,7,4362.87
24,2023-11-24,PlayStation,Videogame,8,4626.94
25,2023-06-13,Mouse Logitech,Periférico,2,4966.16
26,2023-01-09,Mouse Logitech,Periférico,7,2165.25
27,2023-05-13,Mouse Logitech,Periférico,8,2536.89
28,2023-10-31,Samsung Galaxy,Celular,4,1013.65
29,2023-11-06,Apple Watch,Relógio,1,3600.7
30,2023-03-25,Smart TV LG,TV,8,4017.52
31,2023-03-04,PlayStation,Videogame,6,4573.78
32,2023-12-01,Teclado Logitech,Periférico,9,269.76
34,2023-09-30,Apple Watch,Relógio,9,1338.82
35,2023-06-18,MacBook Air,Notebook,8,4776.32
36,2023-11-11,Apple Watch,Relógio,8,3135.96
37,2023-10-21,Apple Watch,Relógio,9,1635.29
38,2023-04-28,Samsung Galaxy Tab,Tablet,7,2178.78
39,2023-04-28,Xiaomi Mi Band,Relógio,5,251.3
40,2023-05-24,Xiaomi Mi Band,Relógio,9,1888.13
41,2023-09-13,Teclado Logitech,Periférico,5,3026.68
42,2023-11-25,Xiaomi Mi Band,Relógio,1,4602.07
43,2023-09-29,Dell Inspiron,Notebook,5,4635.71
44,2023-11-17,JBL,Áudio,2,4693.47
45,2023-10-04,Xbox,Videogame,6,3510.74
46,2023-10-10,Mouse Logitech,Periférico,7,868.2
47,2023-04-16,Apple Watch,Relógio,2,1097.92
49,2023-01-06,Xiaomi Mi Band,Relógio,5,2418.89
